type,name,path,issue
LOD,Isabelle_Griffiths_20260316_0020_coffee_table_model,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Isabelle_Griffiths_20260316_0019_document_model,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Isabelle_Griffiths_20260316_0018_pen_holder_model,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Isabelle_Griffiths_20260316_0015_rec_carpet_model,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Isabelle_Griffiths_20260316_0014_organic_carpet_model,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Isabelle_20260318_1330_ent_chair_new,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,glass,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260320_2201_SM_TV_Screen_Dropdown_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1917_SM_Pillar_Thin_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1917_SM_Pillar_Thick_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1917_SM_Bank_Window_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1915_SM_Barricade_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1914_SM_Bank_Doorway_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1913_SM_Bank_Door_Right_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
LOD,Emily_20260319_1913_SM_Bank_Door_Left_Emily,/Game/DropOff/3D,Only 1 LOD level(s) found (minimum recommended: 2)
TEXTURE,mitchell-orr-Fwa465IyIqM-unsplash,/Game/DropOff/2D,3999x5332px (limit: 2048px)
SIZE,mitchell-orr-Fwa465IyIqM-unsplash,/Game/DropOff/2D,4.82 MB on disk (limit: 1.0 MB)
TEXTURE,Liam_Unwin_20260315_1901_WINDOW_WALL_BEAMS_WINDOW_WALL_BEAMS_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1901_WINDOW_WALL_BEAMS_WINDOW_WALL_BEAMS_Normal,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1901_WINDOW_WALL_BEAMS_WINDOW_WALL_BEAMS_Metallic,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1901_WINDOW_WALL_BEAMS_WINDOW_WALL_BEAMS_Height,/Game/DropOff/2D,2048x2048px (limit: 2048px)
TEXTURE,Liam_Unwin_20260315_1901_WINDOW_WALL_BEAMS_WINDOW_WALL_BEAMS_BaseColor,/Game/DropOff/2D,2048x2048px (limit: 2048px)
SIZE,Liam_Unwin_20260315_1901_WINDOW_WALL_BEAMS_WINDOW_WALL_BEAMS_BaseColor,/Game/DropOff/2D,1.07 MB on disk (limit: 1.0 MB)
TEXTURE,Liam_Unwin_20260315_1900_WALL_BEAMS_3D_MODEL_WALL_BEAMS_Roughness,/Game/DropOff/2D,2048x2048px (limit: 2048px)
